show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_added,year_added
s8891,tv show,"This is Paris, 50 years of passion",Desconocido,Desconocido,desconocido,2021-09-26,2021,tv-nr,2 Seasons,sports,"""PSG city of Lights, 50 years of legend"" tells the story of the 2020-2021 season with exclusive access to the team, and revisits the greatest moments in the club's history. Built around major themes such as ambition, training and solidarity in the face of adversity, the series retraces the Champions League campaign, the battle for the Ligue 1 and victory in the French Cup.",9,2021
s8904,tv show,Digley & Dazey - Vehicle Cartoons for Kids (Made by Little Baby Bum),Desconocido,Desconocido,desconocido,2021-09-26,2021,all,3 Seasons,kids,"Best friends Digley and Dazey are part of a construction team, who go around building and fixing things in need of repair. Working hard as a team and using their creativity, they always save the day and learn new things along the way! In this collection, Digley & Dazey save a kitten, go ice skating, and much more!",9,2021
s8906,tv show,CoComelon - Kids Songs and Nursery Rhymes,Desconocido,Desconocido,desconocido,2021-09-26,2021,all,11 Seasons,kids,"CoComelon is here to help preschoolers learn letters, numbers, animal sounds, colors, and more. The videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together. Sing along to some of the popular nursery rhymes like Wheels on the bus, Mary had a little lamb, Twinkle Twinkle Little Star and more!",9,2021
s8972,tv show,You Are Wanted,Desconocido,"マティアス・シュヴァイクヘーファー, アレクサンドラ・マリア・ララ, ミヒャエル・ランデス, ジェシカ・シュヴァルツ, ハンナ・フックストラ",desconocido,2021-09-29,2018,13+,2 Seasons,"drama, suspense","In Season 2, a new nightmare begins for Lukas Franke. He loses his memory and control of Burning Man, a classified data collection program that everyone from intelligence agencies to international criminals, hackers and activists want to get their hands on. As a result, Lukas is forced on the run, his only chance at survival is retrieving Burning Man, the world’s most powerful cyber weapon.",9,2021
s8978,tv show,My Magic Pet Morphle - Adventures of Mila & Morphle,Desconocido,Desconocido,desconocido,2021-09-29,2021,all,14 Seasons,"animation, kids","Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs, and lions! Your kids will love these fun, and educational videos for kids! They will learn colors, shapes, numbers, the alphabet, and more!",9,2021
s9036,tv show,Alf: The Animated Series,Desconocido,"Len Carlson, Rob Cowan, Paul Fusco, Dan Hennessey",desconocido,2021-09-30,1988,tv-y,1 Season,"animation, kids","When the evil Larson Petty returns to invade the planet, Gordon becomes an unlikely ally and helps Melmac.",9,2021
s9163,tv show,LEGO Monkie Kid - US,Desconocido,"Jack De Sena, Dave B. Mitchell, Stephanie Sheh, David Chen, Sean Schemmel, Patrick Seitz",desconocido,2021-10-01,2021,tv-y7,1 Season,"action, animation, kids","When the evil Demon Bull King is released, a young boy ""MK"" must go on a journey of self-discovery to become the hero this generation needs.",10,2021
s9171,tv show,Judge Faith,Desconocido,Faith Jenkins,desconocido,2021-10-01,2016,tv-pg,2 Seasons,"documentary, special interest, unscripted","Faith Jenkins, a former Louisiana beauty queen, to a Wall Street attorney, to a tough New York City prosecutor, returns for a second season on with her nationally syndicated, arbitration based court show with her tough no-nonsense style of justice. So put your faith in her and her decisions, because she is Judge Faith!",10,2021
s9281,tv show,Travel Man: 48 Hours in...,Desconocido,"Richard Ayoade, Jessica Knappett",desconocido,2021-10-02,2018,13+,7 Seasons,"action, adventure, comedy","Richard Ayoade attempts to visit all the top tourist attractions in various cities in a 48-hour period. Richard hates long, boring holidays so he challenges himself to make trips as efficient as possible.",10,2021
s9305,tv show,Rupert,Desconocido,"Julie Lemieux, Torquil Campbell, Hadley Kay, Guy Bannerman, Valerie Boyle, Keith White, Colin Fox",desconocido,2021-10-02,1995,tv-g,2 Seasons,"animation, kids","The adventures of Rupert, a young bear who unintentionally ends up in faraway or mystical places but always makes it back safely to his home of Nutwood.",10,2021
s9322,tv show,If You Give a Mouse a Cookie,Desconocido,"Mason Mahay, Roger Craig Smith, Jessica DiCiccio, Jeff Bennett, Lara Jill Miller, Henry Kaufman, Kyla Kenedy White, Scarlet Estevez, Benji Risley",united states,2021-10-02,2021,all,10 Seasons,kids,"If You Give A Mouse A Cookie, Series: Based on the beloved books by Laura Numeroff and Felicia Bond. Meet Mouse, Pig, Moose, Dog and Cat and their favorite kids! When everyone gets together one thing always leads to another in the most unexpected ways. You never know where things will end up, but you can be sure that IF Mouse and Friends go on an adventure, THEN there is lots of fun to be had!",10,2021
s9339,tv show,Di-Gata Defenders,Desconocido,"Noah Cappe, Martha MacIsaac, Dan Petronijevic, Stephanie Beard",desconocido,2021-10-02,2008,tv-g,4 Seasons,"action, animation, kids","Only one group can control the destiny of the Di-Gata Stones. With the help of the Guardian creatures, four teenage warriors are entrusted with finding the pure gems to save the good people of RaDos.",10,2021
s9363,tv show,This is Us,Desconocido,Desconocido,desconocido,2021-10-03,2020,16+,4 Seasons,tv shows,"This Is Us chronicles the Pearson family across the decades and reveals how the tiniest events in our lives impact who we become and can transcend time, distance and even death.",10,2021
s9372,tv show,Startup,Desconocido,Desconocido,desconocido,2021-10-03,2016,18+,3 Seasons,tv shows,"Forced to fund a tech company with dirty money from unsuspecting places while forming ties with a dangerous Haitian gang, the fight to build a business pales in comparison to the fight to stay alive, especially when there's a vehement FBI agent who wields the power to make or break those he comes in contact with – and not always for the right reasons.",10,2021
s9394,tv show,Two and a Half Men,Desconocido,"Ashton Kutcher, Jon Cryer, Amber Tamblyn, Conchata Ferrell",desconocido,2021-10-04,2015,tv-nr,11 Seasons,comedy,"Walden Schmidt and Alan Harper (Ashton Kutcher and Jon Cryer) have spent another year searching for the ideal life in their Malibu beach house. In the 12th and final season, Alan and Walden will continue their search for true love, contentment and the meaning of life. And they may actually find a couple of those things!",10,2021
